16/08/10 13:33:39 INFO terasort.TeraSort: starting
16/08/10 13:33:42 INFO input.FileInputFormat: Total input paths to process : 128
Spent 1166ms computing base-splits.
Spent 192ms computing TeraScheduler splits.
Computing input splits took 1359ms
Sampling 10 splits of 16000
Making 128 from 100000 sampled records
Computing parititions took 1175ms
Spent 2539ms computing partitions.
16/08/10 13:33:43 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/10 13:33:45 INFO mapreduce.JobSubmitter: number of splits:16000
16/08/10 13:33:45 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1470470958628_0045
16/08/10 13:33:45 INFO impl.YarnClientImpl: Submitted application application_1470470958628_0045
16/08/10 13:33:45 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1470470958628_0045/
16/08/10 13:33:45 INFO mapreduce.Job: Running job: job_1470470958628_0045
16/08/10 13:33:58 INFO mapreduce.Job: Job job_1470470958628_0045 running in uber mode : false
16/08/10 13:33:58 INFO mapreduce.Job:  map 0% reduce 0%
16/08/10 13:34:16 INFO mapreduce.Job:  map 1% reduce 0%
16/08/10 13:34:18 INFO mapreduce.Job:  map 2% reduce 0%
16/08/10 13:34:31 INFO mapreduce.Job:  map 3% reduce 0%
16/08/10 13:34:38 INFO mapreduce.Job:  map 4% reduce 0%
16/08/10 13:34:44 INFO mapreduce.Job:  map 5% reduce 0%
16/08/10 13:34:52 INFO mapreduce.Job:  map 6% reduce 0%
16/08/10 13:34:57 INFO mapreduce.Job:  map 7% reduce 0%
16/08/10 13:35:05 INFO mapreduce.Job:  map 8% reduce 0%
16/08/10 13:35:12 INFO mapreduce.Job:  map 9% reduce 0%
16/08/10 13:35:19 INFO mapreduce.Job:  map 10% reduce 0%
16/08/10 13:35:24 INFO mapreduce.Job:  map 10% reduce 1%
16/08/10 13:35:28 INFO mapreduce.Job:  map 11% reduce 1%
16/08/10 13:35:35 INFO mapreduce.Job:  map 12% reduce 1%
16/08/10 13:35:42 INFO mapreduce.Job:  map 13% reduce 1%
16/08/10 13:35:49 INFO mapreduce.Job:  map 14% reduce 1%
16/08/10 13:35:56 INFO mapreduce.Job:  map 15% reduce 1%
16/08/10 13:36:04 INFO mapreduce.Job:  map 16% reduce 1%
16/08/10 13:36:09 INFO mapreduce.Job:  map 16% reduce 2%
16/08/10 13:36:11 INFO mapreduce.Job:  map 17% reduce 2%
16/08/10 13:36:18 INFO mapreduce.Job:  map 18% reduce 2%
16/08/10 13:36:26 INFO mapreduce.Job:  map 19% reduce 2%
16/08/10 13:36:35 INFO mapreduce.Job:  map 20% reduce 2%
16/08/10 13:36:44 INFO mapreduce.Job:  map 21% reduce 2%
16/08/10 13:36:49 INFO mapreduce.Job:  map 21% reduce 3%
16/08/10 13:36:54 INFO mapreduce.Job:  map 22% reduce 3%
16/08/10 13:37:05 INFO mapreduce.Job:  map 23% reduce 3%
16/08/10 13:37:15 INFO mapreduce.Job:  map 24% reduce 3%
16/08/10 13:37:22 INFO mapreduce.Job:  map 24% reduce 4%
16/08/10 13:37:25 INFO mapreduce.Job:  map 25% reduce 4%
16/08/10 13:37:34 INFO mapreduce.Job:  map 26% reduce 4%
16/08/10 13:37:42 INFO mapreduce.Job:  map 27% reduce 4%
16/08/10 13:37:49 INFO mapreduce.Job:  map 27% reduce 5%
16/08/10 13:37:51 INFO mapreduce.Job:  map 28% reduce 5%
16/08/10 13:38:01 INFO mapreduce.Job:  map 29% reduce 5%
16/08/10 13:38:13 INFO mapreduce.Job:  map 30% reduce 5%
16/08/10 13:38:26 INFO mapreduce.Job:  map 31% reduce 6%
16/08/10 13:38:39 INFO mapreduce.Job:  map 32% reduce 6%
16/08/10 13:38:53 INFO mapreduce.Job:  map 33% reduce 6%
16/08/10 13:38:58 INFO mapreduce.Job:  map 33% reduce 7%
16/08/10 13:39:03 INFO mapreduce.Job:  map 34% reduce 7%
16/08/10 13:39:17 INFO mapreduce.Job:  map 35% reduce 7%
16/08/10 13:39:27 INFO mapreduce.Job:  map 36% reduce 7%
16/08/10 13:39:29 INFO mapreduce.Job:  map 36% reduce 8%
16/08/10 13:39:39 INFO mapreduce.Job:  map 37% reduce 8%
16/08/10 13:39:50 INFO mapreduce.Job:  map 38% reduce 8%
16/08/10 13:39:51 INFO mapreduce.Job:  map 38% reduce 9%
16/08/10 13:40:02 INFO mapreduce.Job:  map 39% reduce 9%
16/08/10 13:40:12 INFO mapreduce.Job:  map 39% reduce 10%
16/08/10 13:40:15 INFO mapreduce.Job:  map 40% reduce 10%
16/08/10 13:40:26 INFO mapreduce.Job:  map 41% reduce 10%
16/08/10 13:40:34 INFO mapreduce.Job:  map 41% reduce 11%
16/08/10 13:40:35 INFO mapreduce.Job:  map 42% reduce 11%
16/08/10 13:40:47 INFO mapreduce.Job:  map 43% reduce 11%
16/08/10 13:40:55 INFO mapreduce.Job:  map 43% reduce 12%
16/08/10 13:40:58 INFO mapreduce.Job:  map 44% reduce 12%
16/08/10 13:41:09 INFO mapreduce.Job:  map 45% reduce 12%
16/08/10 13:41:17 INFO mapreduce.Job:  map 45% reduce 13%
16/08/10 13:41:21 INFO mapreduce.Job:  map 46% reduce 13%
16/08/10 13:41:32 INFO mapreduce.Job:  map 47% reduce 13%
16/08/10 13:41:34 INFO mapreduce.Job:  map 47% reduce 14%
16/08/10 13:41:44 INFO mapreduce.Job:  map 48% reduce 14%
16/08/10 13:41:52 INFO mapreduce.Job:  map 48% reduce 15%
16/08/10 13:41:56 INFO mapreduce.Job:  map 49% reduce 15%
16/08/10 13:42:07 INFO mapreduce.Job:  map 50% reduce 15%
16/08/10 13:42:11 INFO mapreduce.Job:  map 50% reduce 16%
16/08/10 13:42:19 INFO mapreduce.Job:  map 51% reduce 16%
16/08/10 13:42:32 INFO mapreduce.Job:  map 52% reduce 17%
16/08/10 13:42:44 INFO mapreduce.Job:  map 53% reduce 17%
16/08/10 13:42:55 INFO mapreduce.Job:  map 54% reduce 18%
16/08/10 13:43:08 INFO mapreduce.Job:  map 55% reduce 18%
16/08/10 13:43:19 INFO mapreduce.Job:  map 56% reduce 18%
