16/08/14 19:41:16 INFO terasort.TeraSort: starting
16/08/14 19:41:18 INFO input.FileInputFormat: Total input paths to process : 128
Spent 308ms computing base-splits.
Spent 6ms computing TeraScheduler splits.
Computing input splits took 315ms
Sampling 10 splits of 128
Making 128 from 100000 sampled records
Computing parititions took 1814ms
Spent 2133ms computing partitions.
16/08/14 19:41:20 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/14 19:41:21 INFO mapreduce.JobSubmitter: number of splits:128
16/08/14 19:41:21 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1470891827491_0038
16/08/14 19:41:21 INFO impl.YarnClientImpl: Submitted application application_1470891827491_0038
16/08/14 19:41:21 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1470891827491_0038/
16/08/14 19:41:21 INFO mapreduce.Job: Running job: job_1470891827491_0038
16/08/14 19:41:30 INFO mapreduce.Job: Job job_1470891827491_0038 running in uber mode : false
16/08/14 19:41:30 INFO mapreduce.Job:  map 0% reduce 0%
16/08/14 19:41:45 INFO mapreduce.Job:  map 1% reduce 0%
16/08/14 19:41:46 INFO mapreduce.Job:  map 3% reduce 0%
16/08/14 19:41:47 INFO mapreduce.Job:  map 6% reduce 0%
16/08/14 19:41:48 INFO mapreduce.Job:  map 10% reduce 0%
16/08/14 19:41:49 INFO mapreduce.Job:  map 12% reduce 0%
16/08/14 19:41:50 INFO mapreduce.Job:  map 13% reduce 0%
16/08/14 19:41:51 INFO mapreduce.Job:  map 15% reduce 0%
16/08/14 19:41:52 INFO mapreduce.Job:  map 16% reduce 0%
16/08/14 19:41:53 INFO mapreduce.Job:  map 17% reduce 0%
16/08/14 19:41:54 INFO mapreduce.Job:  map 19% reduce 0%
16/08/14 19:41:55 INFO mapreduce.Job:  map 21% reduce 0%
16/08/14 19:41:56 INFO mapreduce.Job:  map 22% reduce 0%
16/08/14 19:41:57 INFO mapreduce.Job:  map 24% reduce 0%
16/08/14 19:41:58 INFO mapreduce.Job:  map 26% reduce 0%
16/08/14 19:41:59 INFO mapreduce.Job:  map 27% reduce 0%
16/08/14 19:42:00 INFO mapreduce.Job:  map 29% reduce 0%
16/08/14 19:42:01 INFO mapreduce.Job:  map 31% reduce 0%
16/08/14 19:42:02 INFO mapreduce.Job:  map 32% reduce 0%
16/08/14 19:42:03 INFO mapreduce.Job:  map 34% reduce 0%
16/08/14 19:42:04 INFO mapreduce.Job:  map 35% reduce 0%
16/08/14 19:42:05 INFO mapreduce.Job:  map 36% reduce 0%
16/08/14 19:42:06 INFO mapreduce.Job:  map 38% reduce 0%
16/08/14 19:42:07 INFO mapreduce.Job:  map 41% reduce 0%
16/08/14 19:42:09 INFO mapreduce.Job:  map 43% reduce 0%
16/08/14 19:42:10 INFO mapreduce.Job:  map 45% reduce 0%
16/08/14 19:42:11 INFO mapreduce.Job:  map 46% reduce 0%
16/08/14 19:42:12 INFO mapreduce.Job:  map 48% reduce 0%
16/08/14 19:42:13 INFO mapreduce.Job:  map 49% reduce 0%
16/08/14 19:42:14 INFO mapreduce.Job:  map 50% reduce 0%
16/08/14 19:42:15 INFO mapreduce.Job:  map 51% reduce 0%
16/08/14 19:42:16 INFO mapreduce.Job:  map 53% reduce 0%
16/08/14 19:42:17 INFO mapreduce.Job:  map 54% reduce 0%
16/08/14 19:42:18 INFO mapreduce.Job:  map 56% reduce 0%
16/08/14 19:42:19 INFO mapreduce.Job:  map 58% reduce 0%
16/08/14 19:42:21 INFO mapreduce.Job:  map 61% reduce 0%
16/08/14 19:42:22 INFO mapreduce.Job:  map 62% reduce 0%
