16/08/18 04:52:09 INFO terasort.TeraSort: starting
16/08/18 04:52:10 INFO input.FileInputFormat: Total input paths to process : 32
Spent 242ms computing base-splits.
Spent 5ms computing TeraScheduler splits.
Computing input splits took 249ms
Sampling 10 splits of 64
Making 128 from 100000 sampled records
Computing parititions took 1714ms
Spent 1966ms computing partitions.
16/08/18 04:52:12 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/18 04:52:13 INFO mapreduce.JobSubmitter: number of splits:64
16/08/18 04:52:13 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1471329660260_0059
16/08/18 04:52:14 INFO impl.YarnClientImpl: Submitted application application_1471329660260_0059
16/08/18 04:52:14 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1471329660260_0059/
16/08/18 04:52:14 INFO mapreduce.Job: Running job: job_1471329660260_0059
16/08/18 04:52:24 INFO mapreduce.Job: Job job_1471329660260_0059 running in uber mode : false
16/08/18 04:52:24 INFO mapreduce.Job:  map 0% reduce 0%
16/08/18 04:52:39 INFO mapreduce.Job:  map 6% reduce 0%
16/08/18 04:52:40 INFO mapreduce.Job:  map 8% reduce 0%
16/08/18 04:52:42 INFO mapreduce.Job:  map 10% reduce 0%
16/08/18 04:52:43 INFO mapreduce.Job:  map 11% reduce 0%
16/08/18 04:52:45 INFO mapreduce.Job:  map 13% reduce 0%
16/08/18 04:52:46 INFO mapreduce.Job:  map 15% reduce 0%
16/08/18 04:52:48 INFO mapreduce.Job:  map 17% reduce 0%
16/08/18 04:52:49 INFO mapreduce.Job:  map 18% reduce 0%
16/08/18 04:52:51 INFO mapreduce.Job:  map 21% reduce 0%
16/08/18 04:52:52 INFO mapreduce.Job:  map 22% reduce 0%
16/08/18 04:52:54 INFO mapreduce.Job:  map 24% reduce 0%
16/08/18 04:52:55 INFO mapreduce.Job:  map 25% reduce 0%
16/08/18 04:52:57 INFO mapreduce.Job:  map 28% reduce 0%
16/08/18 04:52:58 INFO mapreduce.Job:  map 29% reduce 0%
16/08/18 04:53:00 INFO mapreduce.Job:  map 31% reduce 0%
16/08/18 04:53:01 INFO mapreduce.Job:  map 32% reduce 0%
16/08/18 04:53:03 INFO mapreduce.Job:  map 35% reduce 0%
16/08/18 04:53:04 INFO mapreduce.Job:  map 36% reduce 0%
16/08/18 04:53:06 INFO mapreduce.Job:  map 38% reduce 0%
16/08/18 04:53:07 INFO mapreduce.Job:  map 40% reduce 0%
16/08/18 04:53:09 INFO mapreduce.Job:  map 42% reduce 0%
16/08/18 04:53:10 INFO mapreduce.Job:  map 43% reduce 0%
16/08/18 04:53:12 INFO mapreduce.Job:  map 45% reduce 0%
16/08/18 04:53:13 INFO mapreduce.Job:  map 47% reduce 0%
16/08/18 04:53:15 INFO mapreduce.Job:  map 49% reduce 0%
16/08/18 04:53:16 INFO mapreduce.Job:  map 50% reduce 0%
16/08/18 04:53:18 INFO mapreduce.Job:  map 52% reduce 0%
16/08/18 04:53:19 INFO mapreduce.Job:  map 54% reduce 0%
16/08/18 04:53:21 INFO mapreduce.Job:  map 56% reduce 0%
16/08/18 04:53:22 INFO mapreduce.Job:  map 58% reduce 0%
16/08/18 04:53:24 INFO mapreduce.Job:  map 60% reduce 0%
16/08/18 04:53:25 INFO mapreduce.Job:  map 61% reduce 0%
16/08/18 04:53:27 INFO mapreduce.Job:  map 63% reduce 0%
16/08/18 04:53:28 INFO mapreduce.Job:  map 64% reduce 0%
16/08/18 04:53:30 INFO mapreduce.Job:  map 65% reduce 0%
16/08/18 04:53:31 INFO mapreduce.Job:  map 66% reduce 0%
16/08/18 04:53:33 INFO mapreduce.Job:  map 67% reduce 0%
16/08/18 04:53:35 INFO mapreduce.Job:  map 69% reduce 0%
16/08/18 04:53:37 INFO mapreduce.Job:  map 70% reduce 0%
16/08/18 04:53:38 INFO mapreduce.Job:  map 71% reduce 0%
16/08/18 04:53:40 INFO mapreduce.Job:  map 72% reduce 0%
16/08/18 04:53:41 INFO mapreduce.Job:  map 73% reduce 0%
16/08/18 04:53:43 INFO mapreduce.Job:  map 75% reduce 0%
16/08/18 04:53:44 INFO mapreduce.Job:  map 76% reduce 0%
