16/08/17 17:28:10 INFO terasort.TeraSort: starting
16/08/17 17:28:12 INFO input.FileInputFormat: Total input paths to process : 128
Spent 530ms computing base-splits.
Spent 18ms computing TeraScheduler splits.
Computing input splits took 549ms
Sampling 10 splits of 1024
Making 256 from 100000 sampled records
Computing parititions took 1537ms
Spent 2090ms computing partitions.
16/08/17 17:28:14 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/17 17:28:15 INFO mapreduce.JobSubmitter: number of splits:1024
16/08/17 17:28:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1471329660260_0050
16/08/17 17:28:16 INFO impl.YarnClientImpl: Submitted application application_1471329660260_0050
16/08/17 17:28:16 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1471329660260_0050/
16/08/17 17:28:16 INFO mapreduce.Job: Running job: job_1471329660260_0050
16/08/17 17:28:26 INFO mapreduce.Job: Job job_1471329660260_0050 running in uber mode : false
16/08/17 17:28:26 INFO mapreduce.Job:  map 0% reduce 0%
16/08/17 17:28:43 INFO mapreduce.Job:  map 1% reduce 0%
16/08/17 17:28:44 INFO mapreduce.Job:  map 2% reduce 0%
16/08/17 17:28:45 INFO mapreduce.Job:  map 4% reduce 0%
16/08/17 17:28:47 INFO mapreduce.Job:  map 5% reduce 0%
16/08/17 17:28:50 INFO mapreduce.Job:  map 6% reduce 0%
16/08/17 17:28:51 INFO mapreduce.Job:  map 7% reduce 0%
16/08/17 17:28:53 INFO mapreduce.Job:  map 8% reduce 0%
16/08/17 17:28:54 INFO mapreduce.Job:  map 9% reduce 0%
16/08/17 17:28:56 INFO mapreduce.Job:  map 10% reduce 0%
16/08/17 17:28:57 INFO mapreduce.Job:  map 11% reduce 0%
16/08/17 17:28:58 INFO mapreduce.Job:  map 12% reduce 0%
16/08/17 17:29:00 INFO mapreduce.Job:  map 13% reduce 0%
16/08/17 17:29:01 INFO mapreduce.Job:  map 14% reduce 0%
16/08/17 17:29:03 INFO mapreduce.Job:  map 15% reduce 0%
16/08/17 17:29:04 INFO mapreduce.Job:  map 16% reduce 0%
16/08/17 17:29:07 INFO mapreduce.Job:  map 17% reduce 0%
16/08/17 17:29:09 INFO mapreduce.Job:  map 18% reduce 0%
16/08/17 17:29:10 INFO mapreduce.Job:  map 19% reduce 0%
16/08/17 17:29:11 INFO mapreduce.Job:  map 20% reduce 0%
16/08/17 17:29:13 INFO mapreduce.Job:  map 21% reduce 0%
16/08/17 17:29:14 INFO mapreduce.Job:  map 22% reduce 0%
16/08/17 17:29:16 INFO mapreduce.Job:  map 23% reduce 0%
16/08/17 17:29:18 INFO mapreduce.Job:  map 24% reduce 0%
16/08/17 17:29:21 INFO mapreduce.Job:  map 25% reduce 0%
16/08/17 17:29:27 INFO mapreduce.Job:  map 26% reduce 0%
16/08/17 17:29:32 INFO mapreduce.Job:  map 27% reduce 1%
16/08/17 17:29:33 INFO mapreduce.Job:  map 28% reduce 1%
16/08/17 17:29:35 INFO mapreduce.Job:  map 29% reduce 1%
16/08/17 17:29:37 INFO mapreduce.Job:  map 30% reduce 1%
16/08/17 17:29:39 INFO mapreduce.Job:  map 31% reduce 1%
16/08/17 17:29:41 INFO mapreduce.Job:  map 32% reduce 1%
16/08/17 17:29:43 INFO mapreduce.Job:  map 33% reduce 1%
16/08/17 17:29:45 INFO mapreduce.Job:  map 34% reduce 1%
16/08/17 17:29:46 INFO mapreduce.Job:  map 35% reduce 1%
16/08/17 17:29:48 INFO mapreduce.Job:  map 36% reduce 1%
16/08/17 17:29:50 INFO mapreduce.Job:  map 37% reduce 1%
16/08/17 17:29:51 INFO mapreduce.Job:  map 37% reduce 2%
16/08/17 17:29:52 INFO mapreduce.Job:  map 38% reduce 2%
16/08/17 17:29:54 INFO mapreduce.Job:  map 39% reduce 2%
16/08/17 17:29:57 INFO mapreduce.Job:  map 40% reduce 2%
16/08/17 17:29:59 INFO mapreduce.Job:  map 41% reduce 2%
16/08/17 17:30:02 INFO mapreduce.Job:  map 42% reduce 2%
16/08/17 17:30:04 INFO mapreduce.Job:  map 42% reduce 3%
16/08/17 17:30:05 INFO mapreduce.Job:  map 43% reduce 3%
16/08/17 17:30:09 INFO mapreduce.Job:  map 44% reduce 3%
16/08/17 17:30:13 INFO mapreduce.Job:  map 45% reduce 3%
16/08/17 17:30:16 INFO mapreduce.Job:  map 46% reduce 4%
16/08/17 17:30:19 INFO mapreduce.Job:  map 47% reduce 4%
16/08/17 17:30:22 INFO mapreduce.Job:  map 48% reduce 4%
16/08/17 17:30:27 INFO mapreduce.Job:  map 49% reduce 4%
16/08/17 17:30:29 INFO mapreduce.Job:  map 49% reduce 5%
16/08/17 17:30:30 INFO mapreduce.Job:  map 50% reduce 5%
16/08/17 17:30:34 INFO mapreduce.Job:  map 51% reduce 5%
16/08/17 17:30:39 INFO mapreduce.Job:  map 52% reduce 5%
16/08/17 17:30:42 INFO mapreduce.Job:  map 52% reduce 6%
16/08/17 17:30:44 INFO mapreduce.Job:  map 53% reduce 6%
16/08/17 17:30:47 INFO mapreduce.Job:  map 54% reduce 6%
16/08/17 17:30:51 INFO mapreduce.Job:  map 55% reduce 6%
16/08/17 17:30:52 INFO mapreduce.Job:  map 55% reduce 7%
16/08/17 17:30:56 INFO mapreduce.Job:  map 56% reduce 7%
16/08/17 17:31:00 INFO mapreduce.Job:  map 57% reduce 7%
16/08/17 17:31:03 INFO mapreduce.Job:  map 58% reduce 7%
16/08/17 17:31:07 INFO mapreduce.Job:  map 59% reduce 8%
16/08/17 17:31:11 INFO mapreduce.Job:  map 60% reduce 8%
16/08/17 17:31:16 INFO mapreduce.Job:  map 61% reduce 8%
16/08/17 17:31:20 INFO mapreduce.Job:  map 62% reduce 8%
16/08/17 17:31:23 INFO mapreduce.Job:  map 62% reduce 9%
16/08/17 17:31:24 INFO mapreduce.Job:  map 63% reduce 9%
16/08/17 17:31:29 INFO mapreduce.Job:  map 64% reduce 9%
16/08/17 17:31:32 INFO mapreduce.Job:  map 65% reduce 9%
16/08/17 17:31:35 INFO mapreduce.Job:  map 66% reduce 10%
16/08/17 17:31:38 INFO mapreduce.Job:  map 67% reduce 10%
16/08/17 17:31:41 INFO mapreduce.Job:  map 68% reduce 10%
16/08/17 17:31:44 INFO mapreduce.Job:  map 69% reduce 10%
16/08/17 17:31:47 INFO mapreduce.Job:  map 70% reduce 10%
16/08/17 17:31:50 INFO mapreduce.Job:  map 71% reduce 10%
16/08/17 17:32:04 INFO mapreduce.Job:  map 72% reduce 10%
16/08/17 17:32:09 INFO mapreduce.Job:  map 74% reduce 10%
16/08/17 17:32:11 INFO mapreduce.Job:  map 74% reduce 11%
16/08/17 17:32:14 INFO mapreduce.Job:  map 75% reduce 11%
16/08/17 17:32:20 INFO mapreduce.Job:  map 76% reduce 11%
16/08/17 17:32:23 INFO mapreduce.Job:  map 76% reduce 12%
16/08/17 17:32:24 INFO mapreduce.Job:  map 77% reduce 12%
16/08/17 17:32:28 INFO mapreduce.Job:  map 78% reduce 12%
16/08/17 17:32:32 INFO mapreduce.Job:  map 79% reduce 12%
16/08/17 17:32:35 INFO mapreduce.Job:  map 80% reduce 12%
16/08/17 17:32:36 INFO mapreduce.Job:  map 81% reduce 12%
16/08/17 17:32:39 INFO mapreduce.Job:  map 82% reduce 12%
16/08/17 17:32:42 INFO mapreduce.Job:  map 83% reduce 12%
16/08/17 17:32:45 INFO mapreduce.Job:  map 83% reduce 13%
16/08/17 17:32:47 INFO mapreduce.Job:  map 84% reduce 13%
16/08/17 17:32:51 INFO mapreduce.Job:  map 85% reduce 13%
16/08/17 17:32:53 INFO mapreduce.Job:  map 86% reduce 13%
16/08/17 17:32:57 INFO mapreduce.Job:  map 87% reduce 13%
16/08/17 17:33:00 INFO mapreduce.Job:  map 88% reduce 13%
16/08/17 17:33:03 INFO mapreduce.Job:  map 89% reduce 14%
16/08/17 17:33:05 INFO mapreduce.Job:  map 90% reduce 14%
16/08/17 17:33:09 INFO mapreduce.Job:  map 91% reduce 14%
16/08/17 17:33:11 INFO mapreduce.Job:  map 92% reduce 14%
16/08/17 17:33:14 INFO mapreduce.Job:  map 93% reduce 14%
16/08/17 17:33:17 INFO mapreduce.Job:  map 94% reduce 15%
16/08/17 17:33:20 INFO mapreduce.Job:  map 95% reduce 15%
16/08/17 17:33:24 INFO mapreduce.Job:  map 96% reduce 15%
16/08/17 17:33:28 INFO mapreduce.Job:  map 97% reduce 15%
16/08/17 17:33:32 INFO mapreduce.Job:  map 98% reduce 15%
16/08/17 17:33:34 INFO mapreduce.Job:  map 98% reduce 16%
16/08/17 17:33:38 INFO mapreduce.Job:  map 99% reduce 16%
16/08/17 17:33:44 INFO mapreduce.Job:  map 99% reduce 17%
16/08/17 17:33:53 INFO mapreduce.Job:  map 99% reduce 18%
16/08/17 17:33:59 INFO mapreduce.Job:  map 100% reduce 18%
16/08/17 17:34:01 INFO mapreduce.Job:  map 100% reduce 19%
16/08/17 17:34:11 INFO mapreduce.Job:  map 100% reduce 20%
16/08/17 17:34:19 INFO mapreduce.Job:  map 100% reduce 21%
16/08/17 17:34:36 INFO mapreduce.Job:  map 100% reduce 22%
16/08/17 17:34:39 INFO mapreduce.Job:  map 100% reduce 23%
16/08/17 17:34:54 INFO mapreduce.Job:  map 100% reduce 24%
16/08/17 17:35:00 INFO mapreduce.Job:  map 100% reduce 25%
16/08/17 17:35:10 INFO mapreduce.Job:  map 100% reduce 26%
16/08/17 17:35:25 INFO mapreduce.Job:  map 100% reduce 27%
16/08/17 17:35:44 INFO mapreduce.Job:  map 100% reduce 28%
16/08/17 17:36:06 INFO mapreduce.Job:  map 100% reduce 29%
16/08/17 17:36:32 INFO mapreduce.Job:  map 100% reduce 30%
16/08/17 17:36:58 INFO mapreduce.Job:  map 100% reduce 31%
16/08/17 17:37:26 INFO mapreduce.Job:  map 100% reduce 32%
16/08/17 17:38:39 INFO mapreduce.Job:  map 100% reduce 33%
16/08/17 17:38:47 INFO mapreduce.Job:  map 100% reduce 34%
16/08/17 17:38:51 INFO mapreduce.Job:  map 100% reduce 35%
16/08/17 17:38:57 INFO mapreduce.Job:  map 100% reduce 36%
16/08/17 17:39:02 INFO mapreduce.Job:  map 100% reduce 37%
16/08/17 17:39:05 INFO mapreduce.Job:  map 100% reduce 38%
16/08/17 17:39:09 INFO mapreduce.Job:  map 100% reduce 39%
16/08/17 17:39:11 INFO mapreduce.Job:  map 100% reduce 40%
16/08/17 17:39:12 INFO mapreduce.Job:  map 100% reduce 41%
16/08/17 17:39:15 INFO mapreduce.Job:  map 100% reduce 42%
16/08/17 17:39:18 INFO mapreduce.Job:  map 100% reduce 44%
16/08/17 17:39:21 INFO mapreduce.Job:  map 100% reduce 46%
16/08/17 17:39:24 INFO mapreduce.Job:  map 100% reduce 48%
16/08/17 17:39:27 INFO mapreduce.Job:  map 100% reduce 50%
16/08/17 17:39:30 INFO mapreduce.Job:  map 100% reduce 51%
16/08/17 17:39:31 INFO mapreduce.Job:  map 100% reduce 52%
16/08/17 17:39:33 INFO mapreduce.Job:  map 100% reduce 53%
16/08/17 17:39:34 INFO mapreduce.Job:  map 100% reduce 55%
16/08/17 17:39:37 INFO mapreduce.Job:  map 100% reduce 57%
16/08/17 17:39:39 INFO mapreduce.Job:  map 100% reduce 58%
16/08/17 17:39:40 INFO mapreduce.Job:  map 100% reduce 60%
