16/08/18 04:21:16 INFO terasort.TeraSort: starting
16/08/18 04:21:18 INFO input.FileInputFormat: Total input paths to process : 128
Spent 630ms computing base-splits.
Spent 37ms computing TeraScheduler splits.
Computing input splits took 669ms
Sampling 10 splits of 2048
Making 128 from 100000 sampled records
Computing parititions took 1514ms
Spent 2186ms computing partitions.
16/08/18 04:21:20 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/18 04:21:21 INFO mapreduce.JobSubmitter: number of splits:2048
16/08/18 04:21:21 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1471329660260_0054
16/08/18 04:21:21 INFO impl.YarnClientImpl: Submitted application application_1471329660260_0054
16/08/18 04:21:22 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1471329660260_0054/
16/08/18 04:21:22 INFO mapreduce.Job: Running job: job_1471329660260_0054
16/08/18 04:21:31 INFO mapreduce.Job: Job job_1471329660260_0054 running in uber mode : false
16/08/18 04:21:31 INFO mapreduce.Job:  map 0% reduce 0%
16/08/18 04:21:48 INFO mapreduce.Job:  map 1% reduce 0%
16/08/18 04:21:49 INFO mapreduce.Job:  map 4% reduce 0%
16/08/18 04:21:50 INFO mapreduce.Job:  map 9% reduce 0%
16/08/18 04:21:51 INFO mapreduce.Job:  map 12% reduce 0%
16/08/18 04:21:56 INFO mapreduce.Job:  map 13% reduce 0%
16/08/18 04:22:00 INFO mapreduce.Job:  map 14% reduce 0%
16/08/18 04:22:02 INFO mapreduce.Job:  map 15% reduce 0%
16/08/18 04:22:03 INFO mapreduce.Job:  map 17% reduce 0%
16/08/18 04:22:04 INFO mapreduce.Job:  map 19% reduce 0%
16/08/18 04:22:05 INFO mapreduce.Job:  map 20% reduce 0%
16/08/18 04:22:06 INFO mapreduce.Job:  map 21% reduce 1%
16/08/18 04:22:08 INFO mapreduce.Job:  map 22% reduce 1%
16/08/18 04:22:09 INFO mapreduce.Job:  map 23% reduce 2%
16/08/18 04:22:11 INFO mapreduce.Job:  map 24% reduce 2%
